,bi_allequity_pct,bi_wilshire_pct,bi_spx_proxy,cape,qratio,ey_deficit,mean_reversion,crestmont
1871-01-31,,,,,,,116.81828830178816,
1871-02-28,,,,,,,114.88887375175067,
1871-03-31,,,,,,,115.97870782521596,
1871-04-30,,,,,,,123.76643746239642,
1871-05-31,,,,,,,129.85068867241867,
1871-06-30,,,,,,,130.81044247995297,
1871-07-31,,,,,,,128.36792384443518,
1871-08-31,,,,,,,132.07574961502894,
1871-09-30,,,,,,,130.3268157649456,
1871-10-31,,,,,,,121.69400715473888,
1871-11-30,,,,,,,123.01964993420226,
1871-12-31,,,,,,,122.83567214744691,
1872-01-31,,,,,,,125.945435999281,
1872-02-29,,,,,,,126.46372997458668,
1872-03-31,,,,,,,128.67553860196077,
1872-04-30,,,,,,,129.374276933964,
1872-05-31,,,,,,,129.374276933964,
1872-06-30,,,,,,,129.0609048033314,
1872-07-31,,,,,,,130.2073902519841,
1872-08-31,,,,,,,127.72919950153722,
1872-09-30,,,,,,,124.53245200321453,
1872-10-31,,,,,,,127.83550505643798,
1872-11-30,,,,,,,123.62985923226293,
1872-12-31,,,,,,,128.48949235571305,
1873-01-31,,,,,,,129.50321616128082,
1873-02-28,,,,,,,127.70024031559718,
1873-03-31,,,,,,,126.7083937888741,
1873-04-30,,,,,,,124.9726623671087,
1873-05-31,,,,,,,127.98263045292916,
1873-06-30,,,,,,,130.03309252378358,
1873-07-31,,,,,,,129.77198189622578,
1873-08-31,,,,,,,129.77198189622578,
1873-09-30,,,,,,,119.84977804902944,
1873-10-31,,,,,,,111.94946204473955,
1873-11-30,,,,,,,111.3958305730098,
1873-12-31,,,,,,,119.01746398368998,
1874-01-31,,,,,,,123.54990704598761,
1874-02-28,,,,,,,127.2617068284851,
1874-03-31,,,,,,,125.40580693723636,
1874-04-30,,,,,,,123.86432903279952,
1874-05-31,,,,,,,121.58314985688575,
1874-06-30,,,,,,,123.96853604004045,
1874-07-31,,,,,,,122.97658523654052,
1874-08-31,,,,,,,124.24649239887461,
1874-09-30,,,,,,,126.19218691071381,
1874-10-31,,,,,,,127.97883035677775,
1874-11-30,,,,,,,130.17521127479236,
1874-12-31,,,,,,,129.32066940646766,
1875-01-31,,,,,,,129.32066940646766,
1875-02-28,,,,,,,129.0358221170261,
1875-03-31,,,,,,,130.74490585367545,
1875-04-30,,,,,,,131.36899804834803,
1875-05-31,,,,,,,129.46712750140392,
1875-06-30,,,,,,,129.02847960348137,
1875-07-31,,,,,,,129.32306517335232,
1875-08-31,,,,,,,128.8119919819013,
1875-09-30,,,,,,,128.7338940336104,
