scope,horizon_years,beta_point,beta_se_nw,t_nw,p_nw_1sided,beta_stambaugh,rho_X,beta_bootstrap_median,beta_bootstrap_ci_95_low,beta_bootstrap_ci_95_high,r2_insample,r2_oos_gw,cw_stat,cw_pval,cy_ci_95_low,cy_ci_95_high,n_obs_insample,oos_split_date
LC_FULL,1,-0.22591240705616739,0.36989913694138005,-0.6107405627495934,0.27430422666037874,-0.18435243968252774,0.9984384669411825,,,,0.06150511064643405,,,,,,21,2013-01-01
LC_FULL,3,,,,,,,,,,,,,,,,0,2013-01-01
LC_FULL,5,,,,,,,,,,,,,,,,0,2013-01-01
LC_FULL,10,,,,,,,,,,,,,,,,0,2013-01-01
LC_TIER2,1,0.011313111083321498,0.04981836433608964,0.22708716422321404,0.41024408431316584,0.010571230944114177,0.9415067635694381,0.012313178739387216,-0.10323887160885785,0.11938363491906588,0.0007834094621899101,-0.01674711384261629,1.073694293200527,0.14147985998162094,,,353,2011-01-01
LC_TIER2,3,-0.009854800932501679,0.03437924204817872,-0.2866497440138808,0.38728102801973413,-0.010125468445707216,0.9301763838275366,-0.011309743344323577,-0.08626146053119636,0.06621023867701246,0.0015160744680905447,-0.0027928554925471527,0.5534116193453565,0.28999079216117074,,,329,2011-01-01
LC_TIER2,5,0.005548117052466301,0.029071812693568795,0.19084179961346695,0.4243886729257229,0.005364637155633026,0.9164290228402017,0.004256299889039238,-0.075831222046526,0.056413209930577725,0.000999087445971436,-0.06024621480043213,-1.4679604630881165,0.9289425186255498,,,305,2011-01-01
LC_TIER2,10,0.04125001303622121,0.03887929110221684,1.0609764701668953,0.14487697588761594,0.04150158423518767,0.8492234296412738,0.03832171789199622,-0.021972757707527036,0.12129629446651459,0.049101877641733016,0.11252256606307498,4.4108073646493375,5.149295364548223e-06,,,245,2011-01-01
LC_DEEP,1,-0.03450230897250657,0.04784366426586747,-0.721146874971304,0.235568267287159,-0.03540103218983318,0.9734540638973269,-0.031208171904669145,-0.14699018351703722,0.05419357702431654,0.011278239008340463,-0.20549711533379234,-2.44574397065362,0.992772319446473,,,533,2011-01-01
LC_DEEP,3,-0.053329461114062726,0.02816149103222913,-1.8937016173266668,0.029416822222188315,-0.0536951324012239,0.9726209446797626,-0.051155112446990905,-0.11443017162623419,-0.009386971284027372,0.07193028198986506,-0.7050415422470093,0.8854290303983519,0.18796264041039645,,,509,2011-01-01
LC_DEEP,5,-0.046343839113452384,0.028977882329443618,-1.5992831562561665,0.055205798448265106,-0.04659528916179846,0.9653294293058117,-0.0463966371074214,-0.10683845726325611,-0.007185174011685264,0.08846335623354651,-3.1146027139436585,-4.004224288685393,0.9999688893445061,,,485,2011-01-01
LC_DEEP,10,-0.01816273459433396,0.010716873844465565,-1.6947791732860236,0.04542665034400417,-0.018156762028242974,0.9648578457365338,-0.017440303102359923,-0.047266571497520615,0.010879167940936832,0.019869617935516115,-0.43762713209937254,-5.225341464418322,0.9999999130829961,,,425,2011-01-01
